Thread Count: 9, Matrix Size N: 4, Serial Time: 1e-06, Parallel Time: 8.7e-05
Thread Count: 9, Matrix Size N: 5, Serial Time: 2e-06, Parallel Time: 4.8e-05
Thread Count: 9, Matrix Size N: 6, Serial Time: 4e-06, Parallel Time: 1.5e-05
Thread Count: 9, Matrix Size N: 7, Serial Time: 4e-06, Parallel Time: 2.3e-05
Thread Count: 9, Matrix Size N: 8, Serial Time: 7e-06, Parallel Time: 9.6e-05
Thread Count: 9, Matrix Size N: 9, Serial Time: 1e-05, Parallel Time: 0.000153
Thread Count: 9, Matrix Size N: 10, Serial Time: 1.3e-05, Parallel Time: 8.7e-05
Thread Count: 9, Matrix Size N: 11, Serial Time: 1.8e-05, Parallel Time: 0.000381
Thread Count: 9, Matrix Size N: 12, Serial Time: 2.3e-05, Parallel Time: 4.2e-05
Thread Count: 9, Matrix Size N: 13, Serial Time: 2.8e-05, Parallel Time: 4.2e-05
Thread Count: 9, Matrix Size N: 14, Serial Time: 3.7e-05, Parallel Time: 4.9e-05
Thread Count: 9, Matrix Size N: 15, Serial Time: 4.3e-05, Parallel Time: 0.000115
Thread Count: 9, Matrix Size N: 16, Serial Time: 5.3e-05, Parallel Time: 4e-05
Thread Count: 10, Matrix Size N: 2, Serial Time: 0, Parallel Time: 0.000577
Thread Count: 10, Matrix Size N: 3, Serial Time: 1e-06, Parallel Time: 1.2e-05
Thread Count: 10, Matrix Size N: 4, Serial Time: 1e-06, Parallel Time: 1.1e-05
Thread Count: 10, Matrix Size N: 5, Serial Time: 2e-06, Parallel Time: 0.000135
Thread Count: 10, Matrix Size N: 6, Serial Time: 3e-06, Parallel Time: 0.007229
Thread Count: 10, Matrix Size N: 7, Serial Time: 5e-06, Parallel Time: 0.006437
Thread Count: 10, Matrix Size N: 8, Serial Time: 2.6e-05, Parallel Time: 0.001099
Thread Count: 10, Matrix Size N: 9, Serial Time: 0.000183, Parallel Time: 0.000321
Thread Count: 10, Matrix Size N: 10, Serial Time: 1.2e-05, Parallel Time: 5.5e-05
Thread Count: 10, Matrix Size N: 11, Serial Time: 1.7e-05, Parallel Time: 1.4e-05
Thread Count: 11, Matrix Size N: 2, Serial Time: 1e-06, Parallel Time: 0.000603
Thread Count: 11, Matrix Size N: 3, Serial Time: 0, Parallel Time: 0.000109
Thread Count: 11, Matrix Size N: 4, Serial Time: 1e-06, Parallel Time: 0.000303
Thread Count: 11, Matrix Size N: 5, Serial Time: 1e-06, Parallel Time: 0.000384
Thread Count: 11, Matrix Size N: 6, Serial Time: 3e-06, Parallel Time: 0.00028
Thread Count: 11, Matrix Size N: 7, Serial Time: 5e-06, Parallel Time: 0.000614
Thread Count: 11, Matrix Size N: 8, Serial Time: 7e-06, Parallel Time: 0.000158
Thread Count: 11, Matrix Size N: 9, Serial Time: 9e-06, Parallel Time: 9e-05
Thread Count: 11, Matrix Size N: 10, Serial Time: 1.2e-05, Parallel Time: 0.000114
Thread Count: 11, Matrix Size N: 11, Serial Time: 1.9e-05, Parallel Time: 8.4e-05
Thread Count: 11, Matrix Size N: 12, Serial Time: 2.4e-05, Parallel Time: 8.3e-05
Thread Count: 11, Matrix Size N: 13, Serial Time: 2.8e-05, Parallel Time: 0.000115
Thread Count: 11, Matrix Size N: 14, Serial Time: 3.5e-05, Parallel Time: 0.000624
Thread Count: 11, Matrix Size N: 15, Serial Time: 4.4e-05, Parallel Time: 0.000145
Thread Count: 11, Matrix Size N: 16, Serial Time: 5.1e-05, Parallel Time: 0.000875
Thread Count: 11, Matrix Size N: 17, Serial Time: 0.000101, Parallel Time: 0.000453
Thread Count: 11, Matrix Size N: 18, Serial Time: 7.2e-05, Parallel Time: 9.3e-05
Thread Count: 11, Matrix Size N: 19, Serial Time: 0.000123, Parallel Time: 7.1e-05
